Topology,embed_type,space_group,genus,vertices,edges
frl,1b,Cmmm,6,2,3
fry,1b,Cmmm,7,2,5
fsa,1b,P6/mmm,17,2,3
fsb,1b,P6/mmm,11,2,2
fsc,2b,P4/mmm,4,2,2
fsd,1a,P4/mmm,5,2,3
fsf,2,Imm2,4,2,3
fsg,2,Pmmm,4,2,4
fsh,1b,R-3m,5,2,2
fsi,1b,Ibam,15,3,3
fsk,1b,Pnma,17,3,5
fsm,1b,Pnma,17,3,5
fsn,1b,Pa-3,17,2,2
fso,1b,P2(1),9,3,7
fsx,1b,I4/mmm,8,2,3
fsy,1b,Cmmm,8,3,2
ftc,1b,I4(1)/amd,25,2,4
ftd,1a,I4(1)/amd,33,2,7
fte,1b,P4/mmm,25,2,6
ftf,1b,P6(3)/mcm,49,2,7
ftg,1b,P6(3)/mmc,37,2,6
fth,1b,I4/mmm,33,2,7
fti,1b,I4/mmm,33,2,7
ftj,1b,I4/mmm,25,2,6
ftk,1b,P4(2)/mmc,33,2,7
ftl,1b,P-43m,25,2,5
ftn,1b,I4/mmm,13,2,4
fto,1a,Pm-3n,31,2,3
ftp,1b,P4(2)/mnm,25,2,5
ftv,1b,Im-3,25,2,4
ftw,2b,Pm-3m,9,2,1
fty,1a,Pm-3m,97,2,7
ftz,1b,Pn-3m,97,2,6
fua,1b,R-3m,19,2,5
fud,1a,P-43m,16,2,3
fue,1a,Pm-3m,73,2,6
fuf,1b,Pn-3m,49,2,3
fug,1a,Pm-3m,97,2,7
fuh,1a,Pm-3n,73,2,5
fui,1b,Im-3m,73,2,6
fuj,1a,Pn-3m,73,2,5
ful,1a,Pn-3m,97,2,7
fum,1b,P-31m,25,2,6
fun,1b,I4/mmm,25,2,6
fuo,1b,I4/mmm,33,2,7
fup,1b,P4/nmm,33,2,7
fur,1b,I4(1)/amd,25,2,5
fus,1a,Pm-3m,49,2,5
fut,1a,Pm-3m,73,2,6
fuu,1b,R-3m,25,2,6
fuv,1a,Pm-3m,37,2,4
fuy,1a,Pn-3m,73,2,5
fuz,1a,Pn-3m,73,2,5
fva,1b,I4/mmm,25,2,6
fvb,1b,P-3m1,25,2,7
fvc,1b,P6(3)/mmc,49,2,7
fvd,1b,I4/mcm,33,2,6
fve,1b,P4/nbm,33,2,6
fvh,1b,Im-3,37,2,5
fvi,1a,Pm-3n,73,2,6
fvj,1b,Pm-3,37,2,5
fvk,1b,I-4m2,13,2,5
fvm,1b,P6(3)/mcm,37,2,5
fvn,1b,P-31m,19,2,5
fvo,1b,P6(3)/mmc,37,2,6
fvp,1b,R-3m,25,2,7
fvq,1a,Pn-3m,97,2,7
fvr,1b,R-3m,19,2,5
fvs,1b,Pa-3,49,2,4
fvt,1b,I4/mcm,25,2,5
fvu,1b,P4/nbm,25,2,5
fvv,1b,I432,49,2,6
fvw,1b,P4(2)/mmc,25,2,6
fvx,1b,Im-3m,49,2,5
fwz,1b,P6/mmm,37,2,6
gaf,1b,Cmmm,5,2,4
gah,1b,R-3m,6,2,3
gal,3,Ia-3d,53,2,2
gao,1a,Pm-3n,17,3,2
gar,1a,Ia-3d,29,2,1
gcc,1b,P6/mmm,25,2,5
gcd,1b,P6/mmm,49,3,8
gee,1b,Pm-3m,16,3,2
geo,1b,Pm-3,16,3,4
ggl,1b,R-3c,13,2,3
gie,1b,Ia-3d,49,1,2
gis,1b,I4(1)/amd,9,1,2
gme,1b,P6(3)/mmc,25,1,4
gmee,1b,P6(3)/mmc,97,4,6
gra,1a,P6(3)/mmc,5,2,2
gwe,1b,P6(3)/mmc,43,5,5
gwg,1b,P2(1)/n,5,2,3
hbk,1b,I4/mmm,25,4,5
hbl,2,P4/mmm,13,2,4
hbm,2,P4/mmm,13,2,3
hbo,1a,Pm-3n,25,1,2
hboe,1a,Pm-3n,97,2,4
hbr,1,P6/mmm,28,2,3
hcpd,1a,P6(3)/mmc,11,2,3
hea,1b,R32,8,2,2
hec,ib,Im-3,19,2,3
hee,1b,Pm-3m,37,2,4
het,1b,I-43m,15,3,2
hex,1a,P6/mmm,4,1,2
hey,3,I432,15,3,2
hfp,4,Cmcm,21,4,4
hha,1b,P4(2)/nnm,25,4,7
hhb,1b,I4/mmm,25,4,7
hmc,4,Fm-3m,27,3,2
hms,2b,P-6m2,3,2,2
hmse,1a,P-6m2,9,2,3
hmst,1b,P6(3)/mmc,97,5,11
hof,1b,I4/mmm,4,2,2
hst,1b,P6(4)22,7,2,2
htp,4,Imma,9,2,2
htpa,1b,Imma,19,4,8
hwx,2,P42/mnm,13,2,2
hxg,2b,Pn-3m,9,1,1
hyk,1b,R-3m,14,3,3
hyl,4,R-3m,14,3,4
hyw,4,P4(2)/nnm,17,3,2
hyx,1b,P4(2)/nnm,17,3,3
iab,1b,I4(1)/amd,11,3,2
iac,1a,Ia-3d,29,2,1
iacd,1a,Ia-3d,29,3,2
ibe,1b,Ia-3d,29,2,2
icm,1b,P6(3)/mmc,17,2,4
ict,1b,R-3c,13,1,3
icv,1b,C2/c,15,4,8
idp,1b,Im-3,18,3,2
ins,1b,Pnnm,7,2,3
iph,1b,I4(1)/amd,9,2,3
irl,1b,Cccm,5,1,3
isa,1b,P4(2)/mbc,49,5,7
isc,1b,Pbcn,25,4,7
isd,1b,I4(1)/a,25,5,7
ise,1b,Pccn,49,7,12
isi,1b,C2/c,25,7,12
isj,1b,Pbca,49,6,12
isk,1b,P2(1)/c,25,6,12
isl,1b,Pbcn,25,3,7
ism,1b,I-42d,25,5,7
isn,1b,P4(2)/n,49,8,12
iso,1b,Pbca,49,6,12
isp,1b,P2(1)/c,25,6,12
isq,1b,P4(2)/mnm,13,2,3
iss,1b,P6(2)22,19,3,4
isu,1b,I4(1)/acd,49,5,6
isx,1b,Fddd,13,2,4
isy,1b,Pnma,25,3,7
ith,4,Pm-3n,17,2,1
itha,1b,Pm-3n,73,2,5
ithd,3b,Pm-3n,17,2,2
itv,1b,I-42d,7,2,2
jaj,1b,P4(2)/mnm,11,3,2
jbw,1b,Pmma,7,2,4
jcy,4,P-62c,11,3,3
jea,1b,Imm2,4,2,3
jeb,1b,Cmmm,4,2,3
jec,1b,Cmmm,6,4,5
jjt,1b,P-62c,9,3,2
jph,1b,I4(1)/amd,7,2,2
jsc,1b,Ibam,15,3,4
jse,1b,I4(1)/a,15,3,4
jus,4,Cmcm,11,2,3
jusa,1b,Cmcm,33,6,12
jxj,2b,P4(2)/ncm,13,2,3
kag,1a,P6/mmm,7,1,2
kagd,2b,P6/mmm,7,2,3
kce,4,Im-3m,39,3,2
kdd,1b,Cmc2(1),5,2,3
kea,1b,P4(3)2(1)2,13,2,3
keae,1b,P4(3)2(1)2,49,3,10
ken,4,P6(3)/mmc,11,2,2
kew,2,P6/mmm,10,3,2
kex,4,P6(3)/mmc,21,3,2
key,4,P622,10,3,2
